Time,U,Y,X1,X2,X3
2.15,-64.0,0.0,0.0,2.39,5164.98
2.16,-33.0,-1.0,-1.0,10.7,2429.59
2.17,814.0,0.0,-0.0,15.2,1248.71
2.18,-36.0,0.0,-0.0,113.19,-27439.17
2.19,-398.0,-1.0,-1.0,19.81,-191.63
2.2,779.0,-1.0,-1.0,-27.0,13431.54
2.21,977.0,-1.0,-1.0,106.14,-25615.97
2.22,509.0,-1.0,-1.0,136.6,-34335.12
2.23,362.0,0.0,-0.0,85.56,-18980.0
2.24,-343.0,0.0,0.0,66.25,-13239.22
2.25,-291.0,-1.0,-1.0,-16.93,10900.56
2.26,875.0,0.0,-0.0,-14.97,10386.33
2.27,49.0,0.0,-0.0,119.39,-29007.07
2.28,-433.0,0.0,0.0,31.68,-3205.02
2.29,-137.0,0.0,0.0,-28.93,14461.87
2.3,103.0,0.0,0.0,1.55,5372.49
2.31,26.0,0.0,0.0,30.62,-3225.51
2.32,-61.0,-1.0,-1.0,22.48,-1082.57
2.33,833.0,0.0,-0.0,12.41,2023.13
2.34,31.0,0.0,-0.0,115.11,-28047.87
2.35,-346.0,0.0,0.0,28.37,-2532.52
2.36,-52.0,0.0,0.0,-20.02,11562.95
2.37,141.0,-1.0,-1.0,10.2,2373.28
2.38,917.0,-1.0,-1.0,34.06,-4661.81
2.39,848.0,0.0,-0.0,125.63,-31207.2
2.4,-352.0,0.0,0.0,123.09,-30254.81
2.41,-387.0,0.0,0.0,-15.1,10303.75
2.42,100.0,-1.0,-1.0,-27.66,13620.48
2.43,1038.0,-1.0,-1.0,27.57,-2674.57
2.44,869.0,-1.0,-1.0,138.83,-35190.49
2.45,455.0,-1.0,-1.0,126.02,-31193.92
2.46,457.0,-1.0,-1.0,78.15,-16994.2
2.47,602.0,0.0,-0.0,76.88,-16323.53
2.48,-262.0,-1.0,-1.0,93.07,-21179.37
2.49,516.0,0.0,-0.0,-4.9,7766.27
2.5,15.0,-1.0,-1.0,78.81,-17018.73
2.51,579.0,-1.0,-1.0,25.68,-1408.19
2.52,772.0,0.0,-0.0,88.69,-19647.2
2.53,-310.0,-1.0,-1.0,113.82,-27087.73
2.54,428.0,-1.0,-1.0,-9.37,9069.64
2.55,871.0,-1.0,-1.0,69.09,-13979.14
2.56,606.0,-1.0,-1.0,124.65,-30139.62
2.57,387.0,-1.0,-1.0,97.65,-22052.0
2.58,455.0,-1.0,-1.0,71.29,-14221.18
2.59,536.0,0.0,-0.0,78.67,-16109.38
